Hoy,lun 21-sept-2026 23:39,,1INF54 Proyecto de Diseño y Desarrollo de Software,Publicado menos de 24h...,,
24,24,,"IMPORTANTE.
Se ha publicado....",Publicado entre 24 y 48h,,
,,,Preguntas y Respuestas sobre el Proyecto,Publicado entre 48 y 72h,,
46286,,,,Publicado más de 72,,
46286,,1,¿Diferencia entre los documentos definición del producto y definición del prototipos?,,,
34,mar 18-ago-2026 15:30,,"Definición del producto... dice requisitos de alto nivel. ver el video para un ejemplo.
Definición de prototipo...una representación gráfica de los elementos y funcionalidades que cubre, para ello han revisado los otros productos.", ,,
46286,,,,,,
46286,,2,¿Qué es una unidad de transporte?,,,
28,lun 24-ago-2026 12:26,,"La unidad de transporte o vehíuclo, tratados como sinónimo, se refiere al término que engloba a cualquier tipo de medio de transporte considerado para el proyecto del curso y son: autos, motos, bicicletas. ",,,
46286,,,,,,
46286,,3,"¿Qué son las fallas, averías o similares y cuáles son los tipos de falla?",,,
28,lun 24-ago-2026 12:32,,"En el curso se usará el término avería.
La avería es la no disponibilidad de una unidad de transporte por un periodo determinado.
Se tienen 3 tipos de averías:
- Avería Tipo 1 o menores que implica que el unidad de transporte no está disponible por 2 horas. Ejemplo. Una llanta se desinfla y se soluciona pronto.
- Avería Tipo 2 o intermedios que implica que el unidad de transporte no está disponible hasta el final del siguiente turno al que se averío, la unidad permanece en el lugar por 4 horas como máximo. Ejemplo. El sistema de transmisión (faja/cadena) se rompe.
- Avería Tipo 3 o mayores que implica que el unidad de transporte no está disponible por al menos 2 días por mantenimiento y retorna a operación en el turno 15:00 a 23:00. ","respuesta inicial a ser ampliada más adelante.

1. Las averías se registran en el visualizador.
2. Se tendrán reglas de generación....",,
46286,,,"Avería Tipo 3 permanece en el lugar de la avería por 4 horas.

Las unidades de transporte en las averías 2 y 3, son llevadas de ""manera instantanea"" (por tema del curso) al almacen central. Además, los paquetes que no han sido trasvasados desde dichas unidades igualmente se llevan al almacen central.","Hablar de trasvase.   Giro en U o continua
Indicar el tiempo de trasvase ...   30 min.
-- no hay dato del peso... entonces consideramos o no que puedan salir con plena carga y atender según el cliente.",,
46286,,4,¿cuál es el mapa de la ciudad?,,,
27,mar 25-ago-2026 10:05,,"La ciudad es una reticula (rectagular de ""x"" Km de largo por ""y"" Km de ancho). Todas las calles son de doble sentido. La ciudad está conceptualizada como nodos (esquinas). No existen calles diagonales. No existen calles curvas. Todos los clientes serán referidos por un ubicación (x,y) que corresponde a un nodo.
Las dimensiones de la ciudad serán de 70Km de lado x 50Km de lado. Asuma que el eje X, será el de 70Km. La distancia entre nodo y nodo es de 1Km. Se establece que el origen de coordenadas será el punto 0, 0 que se ubicará en la parte inferior izquierda.",,,
46286,,,,,,
46286,,5,¿dónde están los almacenes?,,,
27,mar 25-ago-2026 10:15,,"El almacén central está ubicado en la posición X=25, Y=15.
El almacén intermedio Nor-Oeste está en la posición X= 12, Y= 38.
El almacén intermedio Este está en la posición X= 55, Y= 27",,,
12,mar 08-sept-2026 23:55,,"El almacén central está ubicado en la posición X=27, Y=14.
El almacén intermedio Nor-Oeste está en la posición X= 12, Y= 38.
El almacén intermedio Este está en la posición X= 57, Y= 27",CAMBIO,,
46286,,6,¿las velocidades son fijas en el tiempo?,,,
27,mar 25-ago-2026 10:25,,"En principio sí. Los equipos deben implementar una solución que permita, por parámetros, cambiar dichos valores. Dicho cambio se puede realizar cuando el software está funcionando (en caliente).",,,
46286,,,,,,
46286,,7,¿Qué son los bloqueos?,,,
